rec_art,onrp,bfsnr,plz_typ,postleitzahl,plz_zz,plz6,gplz,ortbez18,ortbez27,kanton,sprachcode,sprachcode_abw,briefz_durch,gilt_ab_dat,plz_briefzust,plz_coff
1,295,5636,10,1163,0,116300,1163,Etoy,Etoy,VD,2,,8008,06.08.96,116260,J
1,299,5422,10,1170,0,117000,1170,Aubonne,Aubonne,VD,2,,299,10.06.93,117000,J
1,303,5426,20,1172,0,117200,1172,Bougy-Villars,Bougy-Villars,VD,2,,7669,29.05.88,118060,J
1,309,5861,10,1180,0,118000,1180,Rolle,Rolle,VD,2,,7669,01.06.89,118060,J
1,313,5853,10,1183,0,118300,1183,Bursins,Bursins,VD,2,,7164,29.05.88,119660,J
1,315,5858,20,1184,0,118400,1184,Luins,Luins,VD,2,,7164,29.05.88,119660,J
1,317,5856,20,1186,0,118600,1186,Essertines-Rolle,Essertines-sur-Rolle,VD,2,,7669,29.05.88,118060,J
1,319,5437,20,1189,0,118900,1189,Saubraz,Saubraz,VD,2,,7164,05.12.94,119660,J
1,329,6621,20,1200,0,120000,1200,Genève,Genève,GE,2,,356,22.12.88,120060,N
1,330,6621,80,1200,1,120001,1200,Genève 1,Genève 1,GE,2,,356,01.10.88,120060,
1,335,6621,80,1200,6,120006,1200,Genève 6,Genève 6,GE,2,,356,25.10.99,120060,
1,337,6621,80,1200,8,120008,1200,Genève 8,Genève 8,GE,2,,356,21.05.86,120060,
1,340,6621,80,1200,12,120012,1200,Genève 12,Genève 12,GE,2,,356,21.05.86,120060,
1,350,6628,80,1200,26,120026,1200,Genève 26,Genève 26,GE,2,,7162,21.05.86,122760,
1,352,6621,80,1200,50,120050,1200,Genève (CLT),Genève Centre logistique,GE,2,,352,01.09.06,120050,
1,371,6621,20,1205,0,120500,1200,Genève,Genève,GE,2,,356,21.05.86,120060,J
1,373,6621,20,1207,0,120700,1200,Genève,Genève,GE,2,,356,23.11.98,120060,J
1,390,6621,30,1211,12,121112,1200,Genève 12,Genève 12,GE,2,,390,21.05.86,121112,
1,396,6621,30,1211,20,121120,1200,Genève 20,Genève 20,GE,2,,396,15.12.87,121120,
1,398,6621,30,1211,22,121122,1200,Genève 22,Genève 22,GE,2,,398,15.10.96,121122,
1,399,6630,30,1211,23,121123,1200,Genève 23,Genève 23,GE,2,,399,09.02.94,121123,
1,404,6621,30,1211,28,121128,1200,Genève 28,Genève 28,GE,2,,404,21.05.86,121128,
1,420,6643,10,1214,0,121400,1214,Vernier,Vernier,GE,2,,7668,22.12.88,121460,J
1,422,6630,80,1215,68,121568,1215,Genève 15 Dépôt,Genève 15 Aéroport Dépôt,GE,2,,422,02.03.98,121568,
1,425,6630,30,1217,1,121701,1217,Meyrin 1,Meyrin 1,GE,2,,425,10.06.96,121701,
1,426,6630,80,1217,2,121702,1217,Meyrin 2,Meyrin 2,GE,2,,425,10.06.96,121701,
1,428,6623,10,1218,0,121800,1218,Le Grand-Saconnex,Le Grand-Saconnex,GE,2,,7165,10.06.96,121860,J
1,429,6643,10,1219,0,121900,1219,Le Lignon,Le Lignon,GE,2,,7167,10.06.96,121960,J
1,432,6643,20,1219,12,121912,1219,Châtelaine,Châtelaine,GE,2,,7167,10.06.96,121960,J
1,436,6616,10,1222,0,122200,1222,Vésenaz,Vésenaz,GE,2,,7741,01.09.88,122260,J
1,439,6612,10,1224,0,122400,1224,Chêne-Bougeries,Chêne-Bougeries,GE,2,,7163,10.06.96,122560,J
1,444,6608,20,1227,4,122704,1227,Les Acacias,Les Acacias,GE,2,,7162,01.09.88,122760,J
1,447,6633,10,1228,0,122800,1228,Plan-les-Ouates,Plan-les-Ouates,GE,2,,7337,10.06.96,121260,J
1,448,6612,20,1231,0,123100,1231,Conches,Conches,GE,2,,7163,10.06.96,122560,J
1,449,6618,10,1232,0,123200,1232,Confignon,Confignon,GE,2,,7667,10.06.96,123360,J
1,455,6615,20,1239,0,123900,1239,Collex,Collex,GE,2,,7169,06.08.96,129060,J
1,457,6638,10,1242,0,124200,1242,Satigny,Satigny,GE,2,,7168,06.08.96,121760,J
1,460,6616,20,1245,0,124500,1245,Collonge-Bellerive,Collonge-Bellerive,GE,2,,7741,21.05.86,122260,J
1,462,6602,20,1247,0,124700,1247,Anières,Anières,GE,2,,7741,21.05.86,122260,J
1,465,6629,10,1252,0,125200,1252,Meinier,Meinier,GE,2,,7163,21.05.86,122560,J
1,466,6642,10,1253,0,125300,1253,Vandoeuvres,Vandoeuvres,GE,2,,8020,21.05.86,122360,J
1,494,5429,20,1261,35,126135,1261,Longirod,Longirod,VD,2,,7164,21.05.86,119660,J
1,497,5714,20,1263,0,126300,1263,Crassier,Crassier,VD,2,,484,06.08.96,127600,J
1,498,5727,10,1264,0,126400,1264,St-Cergue,St-Cergue,VD,2,,7164,06.08.96,119660,J
1,501,5715,20,1266,0,126600,1266,Duillier,Duillier,VD,2,,473,06.08.96,126060,J
1,504,5704,10,1268,0,126800,1268,Begnins,Begnins,VD,2,,7164,18.06.93,119660,J
1,513,6601,10,1288,0,128800,1288,Aire-la-Ville,Aire-la-Ville,GE,2,,7166,02.05.01,121360,J
1,518,6606,20,1293,0,129300,1293,Bellevue,Bellevue,GE,2,,7169,15.12.93,129060,J
1,522,5712,10,1296,0,129600,1296,Coppet,Coppet,VD,2,,8398,21.05.86,129660,J
